timestamp,usuario,fecha_publicacion,contenido,respuestas,retweets,likes,guardados,vistas
2025-07-11 23:19:14,Interbank,"Mar 21, 2024","#OrgulloInterbank compartir el reconocimiento como Líderes Empresariales por el Cambio (LEC) a tres de nuestros clientes de Banca Empresa 🇵🇪 que apostaron por la #innovación para el crecimiento de sus negocios. 
#PremiosLEC",2,0,8,0,5.0K
2025-07-11 23:19:14,Interbank,"Mar 13, 2024","Otorgamos una línea de #FinanciamientoVerde por US$6 millones a HVC Exportaciones, destinada a la compra de café con certificación sostenible, lo que garantiza un ecosistema de prácticas eco amigables. 💪🌎

Conoce más👉interbank.pe/financiamiento…
#Sostenibilidad #NegocioResponsable",20,1,6,0,6.0K
2025-07-11 23:19:14,Interbank,"Mar 8, 2024","#EsCompromisoDeTodosyTodas ¡Este #8M sigamos! Por más acciones que nos permitan construir igualdad de oportunidades. Conoce algunas de nuestras iniciativas para impulsar la equidad en 👉 interbank.pe/equidad
#8deMarzo #DíaInternacionalDeLaMujer #EsTiempoDeEquidad",14,3,7,0,5.0K
2025-07-12 01:45:16,Interbank,Apr 16,¡Este feriado largo sigamos conectados! 💚 Este 17 y 18 de abril realiza tus operaciones de forma digital a través de tu #InterbankAPP 📲,84,0,7,3,12.0K
2025-07-12 01:45:16,Interbank,Oct 7,"Recuerda 👀 durante este feriado no habrá atención en nuestras Tiendas Financieras. 
Todas tus operaciones podrás hacerlas desde nuestra Banca por Internet y desde tu #InterbankApp 📱",66,1,25,2,98.0K
2025-07-12 01:45:16,Interbank,Aug 29,"Este feriado, sigue gestionando tus operaciones de manera rápida y segura desde tu Interbank APP o a través de nuestra Banca por Internet. 📲💻

✨ ¡Te esperamos de vuelta el 31 de agosto! ✨",59,0,9,0,37.0K
2025-07-12 01:45:16,Interbank,Aug 5,"Este 06 de agosto, realiza todas tus operaciones de manera fácil y segura desde tu #Interbank APP o desde nuestra Banca por Internet. 📲🧑‍💻",21,0,3,0,30.0K
2025-07-12 01:45:16,Interbank,Jul 27,"Este 29 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankApp📱o desde nuestra Banca por Internet.  💻

✨ Retomaremos nuestra atención regular, el martes 30 de julio. 💚",30,1,9,0,26.0K
2025-07-12 01:45:16,Interbank,Jul 22,"📢 Este martes 23 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankAPP o nuestra Banca por Internet. 💻📱",8,0,5,1,21.0K
2025-07-12 01:45:16,Interbank,"Jun 6, 2024","👀Este feriado, puedes realizar tus operaciones desde casa en nuestros canales digitales 📲Nos reencontramos el sábado en nuestro horario regular.",96,1,7,1,17.0K
2025-07-12 01:45:16,Interbank,"May 4, 2024","👉 Encuentra aquí todo lo que necesitas saber sobre el retiro de la AFP. Si has decidido retirar, recuerda que el 20 de mayo empieza el registro de solicitudes según el último dígito de tu DNI.

Para saber más entra aquí: bit.ly/3WJL79h 🔗",123,2,14,4,22.0K
2025-07-12 01:45:16,Interbank,"Mar 27, 2024","Este feriado largo tu #InterbankApp estará disponible 24/7 para todas tus operaciones, al igual que nuestra Banca por Internet. El sábado 30 atenderemos en horario regular. ✨",46,1,9,0,16.0K
2025-07-12 01:45:16,Interbank,"Mar 26, 2024","#OrgulloInterbank  
¡Somos top #2 de “Los Mejores Lugares para Trabajar para las Mujeres en Perú” por @GPTWPeru 💪 
¡El cambio es colectivo! 💚 Seguiremos impulsándolo a través de nuestros programas e iniciativas para promover un entorno equitativo, diverso e inclusivo.",7,2,9,0,10.0K
2025-07-12 01:45:16,Interbank,"Mar 21, 2024","#OrgulloInterbank compartir el reconocimiento como Líderes Empresariales por el Cambio (LEC) a tres de nuestros clientes de Banca Empresa 🇵🇪 que apostaron por la #innovación para el crecimiento de sus negocios. 
#PremiosLEC",2,0,8,0,5.0K
2025-07-12 01:45:16,Interbank,"Mar 13, 2024","Otorgamos una línea de #FinanciamientoVerde por US$6 millones a HVC Exportaciones, destinada a la compra de café con certificación sostenible, lo que garantiza un ecosistema de prácticas eco amigables. 💪🌎

Conoce más👉interbank.pe/financiamiento…
#Sostenibilidad #NegocioResponsable",20,1,6,0,6.0K
2025-07-12 01:45:16,Interbank,"Mar 8, 2024","#EsCompromisoDeTodosyTodas ¡Este #8M sigamos! Por más acciones que nos permitan construir igualdad de oportunidades. Conoce algunas de nuestras iniciativas para impulsar la equidad en 👉 interbank.pe/equidad
#8deMarzo #DíaInternacionalDeLaMujer #EsTiempoDeEquidad",14,3,7,0,5.0K
2025-07-12 03:25:43,Interbank,Apr 16,¡Este feriado largo sigamos conectados! 💚 Este 17 y 18 de abril realiza tus operaciones de forma digital a través de tu #InterbankAPP 📲,84,0,7,3,12.0K
2025-07-12 03:25:43,Interbank,Oct 7,"Recuerda 👀 durante este feriado no habrá atención en nuestras Tiendas Financieras. 
Todas tus operaciones podrás hacerlas desde nuestra Banca por Internet y desde tu #InterbankApp 📱",66,1,25,2,98.0K
2025-07-12 03:25:43,Interbank,Aug 29,"Este feriado, sigue gestionando tus operaciones de manera rápida y segura desde tu Interbank APP o a través de nuestra Banca por Internet. 📲💻

✨ ¡Te esperamos de vuelta el 31 de agosto! ✨",59,0,9,0,37.0K
2025-07-12 03:25:43,Interbank,Aug 5,"Este 06 de agosto, realiza todas tus operaciones de manera fácil y segura desde tu #Interbank APP o desde nuestra Banca por Internet. 📲🧑‍💻",21,0,3,0,30.0K
2025-07-12 03:25:43,Interbank,Jul 27,"Este 29 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankApp📱o desde nuestra Banca por Internet.  💻

✨ Retomaremos nuestra atención regular, el martes 30 de julio. 💚",30,1,9,0,26.0K
2025-07-12 03:25:43,Interbank,Jul 22,"📢 Este martes 23 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankAPP o nuestra Banca por Internet. 💻📱",8,0,5,1,21.0K
2025-07-12 03:25:43,Interbank,"Jun 6, 2024","👀Este feriado, puedes realizar tus operaciones desde casa en nuestros canales digitales 📲Nos reencontramos el sábado en nuestro horario regular.",96,1,7,1,17.0K
2025-07-12 03:25:43,Interbank,"May 4, 2024","👉 Encuentra aquí todo lo que necesitas saber sobre el retiro de la AFP. Si has decidido retirar, recuerda que el 20 de mayo empieza el registro de solicitudes según el último dígito de tu DNI.

Para saber más entra aquí: bit.ly/3WJL79h 🔗",123,2,14,4,22.0K
2025-07-12 03:25:43,Interbank,"Mar 27, 2024","Este feriado largo tu #InterbankApp estará disponible 24/7 para todas tus operaciones, al igual que nuestra Banca por Internet. El sábado 30 atenderemos en horario regular. ✨",46,1,9,0,16.0K
2025-07-12 03:25:43,Interbank,"Mar 26, 2024","#OrgulloInterbank  
¡Somos top #2 de “Los Mejores Lugares para Trabajar para las Mujeres en Perú” por @GPTWPeru 💪 
¡El cambio es colectivo! 💚 Seguiremos impulsándolo a través de nuestros programas e iniciativas para promover un entorno equitativo, diverso e inclusivo.",7,2,9,0,10.0K
2025-07-12 03:25:43,Interbank,"Mar 21, 2024","#OrgulloInterbank compartir el reconocimiento como Líderes Empresariales por el Cambio (LEC) a tres de nuestros clientes de Banca Empresa 🇵🇪 que apostaron por la #innovación para el crecimiento de sus negocios. 
#PremiosLEC",2,0,8,0,5.0K
2025-07-12 03:25:43,Interbank,"Mar 13, 2024","Otorgamos una línea de #FinanciamientoVerde por US$6 millones a HVC Exportaciones, destinada a la compra de café con certificación sostenible, lo que garantiza un ecosistema de prácticas eco amigables. 💪🌎

Conoce más👉interbank.pe/financiamiento…
#Sostenibilidad #NegocioResponsable",20,1,6,0,6.0K
2025-07-12 03:25:43,Interbank,"Mar 8, 2024","#EsCompromisoDeTodosyTodas ¡Este #8M sigamos! Por más acciones que nos permitan construir igualdad de oportunidades. Conoce algunas de nuestras iniciativas para impulsar la equidad en 👉 interbank.pe/equidad
#8deMarzo #DíaInternacionalDeLaMujer #EsTiempoDeEquidad",14,3,7,0,5.0K
2025-07-12 04:30:55,Interbank,Apr 16,¡Este feriado largo sigamos conectados! 💚 Este 17 y 18 de abril realiza tus operaciones de forma digital a través de tu #InterbankAPP 📲,84,0,7,3,12.0K
2025-07-12 04:30:55,Interbank,Oct 7,"Recuerda 👀 durante este feriado no habrá atención en nuestras Tiendas Financieras. 
Todas tus operaciones podrás hacerlas desde nuestra Banca por Internet y desde tu #InterbankApp 📱",66,1,25,2,98.0K
2025-07-12 04:30:55,Interbank,Aug 29,"Este feriado, sigue gestionando tus operaciones de manera rápida y segura desde tu Interbank APP o a través de nuestra Banca por Internet. 📲💻

✨ ¡Te esperamos de vuelta el 31 de agosto! ✨",59,0,9,0,37.0K
2025-07-12 04:30:55,Interbank,Aug 5,"Este 06 de agosto, realiza todas tus operaciones de manera fácil y segura desde tu #Interbank APP o desde nuestra Banca por Internet. 📲🧑‍💻",21,0,3,0,30.0K
2025-07-12 04:30:55,Interbank,Jul 27,"Este 29 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankApp📱o desde nuestra Banca por Internet.  💻

✨ Retomaremos nuestra atención regular, el martes 30 de julio. 💚",30,1,9,0,26.0K
2025-07-12 04:30:55,Interbank,Jul 22,"📢 Este martes 23 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankAPP o nuestra Banca por Internet. 💻📱",8,0,5,1,21.0K
2025-07-12 04:30:55,Interbank,"Jun 6, 2024","👀Este feriado, puedes realizar tus operaciones desde casa en nuestros canales digitales 📲Nos reencontramos el sábado en nuestro horario regular.",96,1,7,1,17.0K
2025-07-12 04:30:55,Interbank,"May 4, 2024","👉 Encuentra aquí todo lo que necesitas saber sobre el retiro de la AFP. Si has decidido retirar, recuerda que el 20 de mayo empieza el registro de solicitudes según el último dígito de tu DNI.

Para saber más entra aquí: bit.ly/3WJL79h 🔗",123,2,14,4,22.0K
2025-07-12 04:30:55,Interbank,"Mar 27, 2024","Este feriado largo tu #InterbankApp estará disponible 24/7 para todas tus operaciones, al igual que nuestra Banca por Internet. El sábado 30 atenderemos en horario regular. ✨",46,1,9,0,16.0K
2025-07-12 04:30:55,Interbank,"Mar 26, 2024","#OrgulloInterbank  
¡Somos top #2 de “Los Mejores Lugares para Trabajar para las Mujeres en Perú” por @GPTWPeru 💪 
¡El cambio es colectivo! 💚 Seguiremos impulsándolo a través de nuestros programas e iniciativas para promover un entorno equitativo, diverso e inclusivo.",7,2,9,0,10.0K
2025-07-12 04:30:55,Interbank,"Mar 21, 2024","#OrgulloInterbank compartir el reconocimiento como Líderes Empresariales por el Cambio (LEC) a tres de nuestros clientes de Banca Empresa 🇵🇪 que apostaron por la #innovación para el crecimiento de sus negocios. 
#PremiosLEC",2,0,8,0,5.0K
2025-07-12 04:30:55,Interbank,"Mar 13, 2024","Otorgamos una línea de #FinanciamientoVerde por US$6 millones a HVC Exportaciones, destinada a la compra de café con certificación sostenible, lo que garantiza un ecosistema de prácticas eco amigables. 💪🌎

Conoce más👉interbank.pe/financiamiento…
#Sostenibilidad #NegocioResponsable",20,1,6,0,6.0K
2025-07-12 04:30:55,Interbank,"Mar 8, 2024","#EsCompromisoDeTodosyTodas ¡Este #8M sigamos! Por más acciones que nos permitan construir igualdad de oportunidades. Conoce algunas de nuestras iniciativas para impulsar la equidad en 👉 interbank.pe/equidad
#8deMarzo #DíaInternacionalDeLaMujer #EsTiempoDeEquidad",14,3,7,0,5.0K
2025-07-12 05:20:08,Interbank,Apr 16,¡Este feriado largo sigamos conectados! 💚 Este 17 y 18 de abril realiza tus operaciones de forma digital a través de tu #InterbankAPP 📲,84,0,7,3,12.0K
2025-07-12 05:20:08,Interbank,Oct 7,"Recuerda 👀 durante este feriado no habrá atención en nuestras Tiendas Financieras. 
Todas tus operaciones podrás hacerlas desde nuestra Banca por Internet y desde tu #InterbankApp 📱",66,1,25,2,98.0K
2025-07-12 05:20:08,Interbank,Aug 29,"Este feriado, sigue gestionando tus operaciones de manera rápida y segura desde tu Interbank APP o a través de nuestra Banca por Internet. 📲💻

✨ ¡Te esperamos de vuelta el 31 de agosto! ✨",59,0,9,0,37.0K
2025-07-12 05:20:08,Interbank,Aug 5,"Este 06 de agosto, realiza todas tus operaciones de manera fácil y segura desde tu #Interbank APP o desde nuestra Banca por Internet. 📲🧑‍💻",21,0,3,0,30.0K
2025-07-12 05:20:08,Interbank,Jul 27,"Este 29 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankApp📱o desde nuestra Banca por Internet.  💻

✨ Retomaremos nuestra atención regular, el martes 30 de julio. 💚",30,1,9,0,26.0K
2025-07-12 05:20:08,Interbank,Jul 22,"📢 Este martes 23 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankAPP o nuestra Banca por Internet. 💻📱",8,0,5,1,21.0K
2025-07-12 05:20:08,Interbank,"Jun 6, 2024","👀Este feriado, puedes realizar tus operaciones desde casa en nuestros canales digitales 📲Nos reencontramos el sábado en nuestro horario regular.",96,1,7,1,17.0K
2025-07-12 05:20:08,Interbank,"May 4, 2024","👉 Encuentra aquí todo lo que necesitas saber sobre el retiro de la AFP. Si has decidido retirar, recuerda que el 20 de mayo empieza el registro de solicitudes según el último dígito de tu DNI.

Para saber más entra aquí: bit.ly/3WJL79h 🔗",123,2,14,4,22.0K
2025-07-12 05:20:08,Interbank,"Mar 27, 2024","Este feriado largo tu #InterbankApp estará disponible 24/7 para todas tus operaciones, al igual que nuestra Banca por Internet. El sábado 30 atenderemos en horario regular. ✨",46,1,9,0,16.0K
2025-07-12 05:20:08,Interbank,"Mar 26, 2024","#OrgulloInterbank  
¡Somos top #2 de “Los Mejores Lugares para Trabajar para las Mujeres en Perú” por @GPTWPeru 💪 
¡El cambio es colectivo! 💚 Seguiremos impulsándolo a través de nuestros programas e iniciativas para promover un entorno equitativo, diverso e inclusivo.",7,2,9,0,10.0K
2025-07-12 05:20:08,Interbank,"Mar 21, 2024","#OrgulloInterbank compartir el reconocimiento como Líderes Empresariales por el Cambio (LEC) a tres de nuestros clientes de Banca Empresa 🇵🇪 que apostaron por la #innovación para el crecimiento de sus negocios. 
#PremiosLEC",2,0,8,0,5.0K
2025-07-12 05:20:08,Interbank,"Mar 13, 2024","Otorgamos una línea de #FinanciamientoVerde por US$6 millones a HVC Exportaciones, destinada a la compra de café con certificación sostenible, lo que garantiza un ecosistema de prácticas eco amigables. 💪🌎

Conoce más👉interbank.pe/financiamiento…
#Sostenibilidad #NegocioResponsable",20,1,6,0,6.0K
2025-07-12 05:20:08,Interbank,"Mar 8, 2024","#EsCompromisoDeTodosyTodas ¡Este #8M sigamos! Por más acciones que nos permitan construir igualdad de oportunidades. Conoce algunas de nuestras iniciativas para impulsar la equidad en 👉 interbank.pe/equidad
#8deMarzo #DíaInternacionalDeLaMujer #EsTiempoDeEquidad",14,3,7,0,5.0K
2025-07-12 06:27:57,Interbank,Apr 16,¡Este feriado largo sigamos conectados! 💚 Este 17 y 18 de abril realiza tus operaciones de forma digital a través de tu #InterbankAPP 📲,84,0,7,3,13.0K
2025-07-12 06:27:57,Interbank,Oct 7,"Recuerda 👀 durante este feriado no habrá atención en nuestras Tiendas Financieras. 
Todas tus operaciones podrás hacerlas desde nuestra Banca por Internet y desde tu #InterbankApp 📱",66,1,25,2,98.0K
2025-07-12 06:27:57,Interbank,Aug 29,"Este feriado, sigue gestionando tus operaciones de manera rápida y segura desde tu Interbank APP o a través de nuestra Banca por Internet. 📲💻

✨ ¡Te esperamos de vuelta el 31 de agosto! ✨",59,0,9,0,37.0K
2025-07-12 06:27:57,Interbank,Aug 5,"Este 06 de agosto, realiza todas tus operaciones de manera fácil y segura desde tu #Interbank APP o desde nuestra Banca por Internet. 📲🧑‍💻",21,0,3,0,30.0K
2025-07-12 06:27:57,Interbank,Jul 27,"Este 29 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankApp📱o desde nuestra Banca por Internet.  💻

✨ Retomaremos nuestra atención regular, el martes 30 de julio. 💚",30,1,9,0,26.0K
2025-07-12 06:27:57,Interbank,Jul 22,"📢 Este martes 23 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankAPP o nuestra Banca por Internet. 💻📱",8,0,5,1,21.0K
2025-07-12 06:27:57,Interbank,"Jun 6, 2024","👀Este feriado, puedes realizar tus operaciones desde casa en nuestros canales digitales 📲Nos reencontramos el sábado en nuestro horario regular.",96,1,7,1,17.0K
2025-07-12 06:27:57,Interbank,"May 4, 2024","👉 Encuentra aquí todo lo que necesitas saber sobre el retiro de la AFP. Si has decidido retirar, recuerda que el 20 de mayo empieza el registro de solicitudes según el último dígito de tu DNI.

Para saber más entra aquí: bit.ly/3WJL79h 🔗",123,2,14,4,22.0K
2025-07-12 06:27:57,Interbank,"Mar 27, 2024","Este feriado largo tu #InterbankApp estará disponible 24/7 para todas tus operaciones, al igual que nuestra Banca por Internet. El sábado 30 atenderemos en horario regular. ✨",46,1,9,0,16.0K
2025-07-12 06:27:57,Interbank,"Mar 26, 2024","#OrgulloInterbank  
¡Somos top #2 de “Los Mejores Lugares para Trabajar para las Mujeres en Perú” por @GPTWPeru 💪 
¡El cambio es colectivo! 💚 Seguiremos impulsándolo a través de nuestros programas e iniciativas para promover un entorno equitativo, diverso e inclusivo.",7,2,9,0,10.0K
2025-07-12 06:27:57,Interbank,"Mar 21, 2024","#OrgulloInterbank compartir el reconocimiento como Líderes Empresariales por el Cambio (LEC) a tres de nuestros clientes de Banca Empresa 🇵🇪 que apostaron por la #innovación para el crecimiento de sus negocios. 
#PremiosLEC",2,0,8,0,5.0K
2025-07-12 06:27:57,Interbank,"Mar 13, 2024","Otorgamos una línea de #FinanciamientoVerde por US$6 millones a HVC Exportaciones, destinada a la compra de café con certificación sostenible, lo que garantiza un ecosistema de prácticas eco amigables. 💪🌎

Conoce más👉interbank.pe/financiamiento…
#Sostenibilidad #NegocioResponsable",20,1,6,0,6.0K
2025-07-12 06:27:57,Interbank,"Mar 8, 2024","#EsCompromisoDeTodosyTodas ¡Este #8M sigamos! Por más acciones que nos permitan construir igualdad de oportunidades. Conoce algunas de nuestras iniciativas para impulsar la equidad en 👉 interbank.pe/equidad
#8deMarzo #DíaInternacionalDeLaMujer #EsTiempoDeEquidad",14,3,7,0,5.0K
2025-07-12 07:18:52,Interbank,Apr 16,¡Este feriado largo sigamos conectados! 💚 Este 17 y 18 de abril realiza tus operaciones de forma digital a través de tu #InterbankAPP 📲,84,0,7,3,13.0K
2025-07-12 07:18:52,Interbank,Oct 7,"Recuerda 👀 durante este feriado no habrá atención en nuestras Tiendas Financieras. 
Todas tus operaciones podrás hacerlas desde nuestra Banca por Internet y desde tu #InterbankApp 📱",66,1,25,2,98.0K
2025-07-12 07:18:52,Interbank,Aug 29,"Este feriado, sigue gestionando tus operaciones de manera rápida y segura desde tu Interbank APP o a través de nuestra Banca por Internet. 📲💻

✨ ¡Te esperamos de vuelta el 31 de agosto! ✨",59,0,9,0,37.0K
2025-07-12 07:18:52,Interbank,Aug 5,"Este 06 de agosto, realiza todas tus operaciones de manera fácil y segura desde tu #Interbank APP o desde nuestra Banca por Internet. 📲🧑‍💻",21,0,3,0,30.0K
2025-07-12 07:18:52,Interbank,Jul 27,"Este 29 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankApp📱o desde nuestra Banca por Internet.  💻

✨ Retomaremos nuestra atención regular, el martes 30 de julio. 💚",30,1,9,0,26.0K
2025-07-12 07:18:52,Interbank,Jul 22,"📢 Este martes 23 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankAPP o nuestra Banca por Internet. 💻📱",8,0,5,1,21.0K
2025-07-12 07:18:52,Interbank,"Jun 6, 2024","👀Este feriado, puedes realizar tus operaciones desde casa en nuestros canales digitales 📲Nos reencontramos el sábado en nuestro horario regular.",96,1,7,1,17.0K
2025-07-12 07:18:52,Interbank,"May 4, 2024","👉 Encuentra aquí todo lo que necesitas saber sobre el retiro de la AFP. Si has decidido retirar, recuerda que el 20 de mayo empieza el registro de solicitudes según el último dígito de tu DNI.

Para saber más entra aquí: bit.ly/3WJL79h 🔗",123,2,14,4,22.0K
2025-07-12 07:18:52,Interbank,"Mar 27, 2024","Este feriado largo tu #InterbankApp estará disponible 24/7 para todas tus operaciones, al igual que nuestra Banca por Internet. El sábado 30 atenderemos en horario regular. ✨",46,1,9,0,16.0K
2025-07-12 07:18:52,Interbank,"Mar 26, 2024","#OrgulloInterbank  
¡Somos top #2 de “Los Mejores Lugares para Trabajar para las Mujeres en Perú” por @GPTWPeru 💪 
¡El cambio es colectivo! 💚 Seguiremos impulsándolo a través de nuestros programas e iniciativas para promover un entorno equitativo, diverso e inclusivo.",7,2,9,0,10.0K
2025-07-12 07:18:52,Interbank,"Mar 21, 2024","#OrgulloInterbank compartir el reconocimiento como Líderes Empresariales por el Cambio (LEC) a tres de nuestros clientes de Banca Empresa 🇵🇪 que apostaron por la #innovación para el crecimiento de sus negocios. 
#PremiosLEC",2,0,8,0,5.0K
2025-07-12 07:18:52,Interbank,"Mar 13, 2024","Otorgamos una línea de #FinanciamientoVerde por US$6 millones a HVC Exportaciones, destinada a la compra de café con certificación sostenible, lo que garantiza un ecosistema de prácticas eco amigables. 💪🌎

Conoce más👉interbank.pe/financiamiento…
#Sostenibilidad #NegocioResponsable",20,1,6,0,6.0K
2025-07-12 07:18:52,Interbank,"Mar 8, 2024","#EsCompromisoDeTodosyTodas ¡Este #8M sigamos! Por más acciones que nos permitan construir igualdad de oportunidades. Conoce algunas de nuestras iniciativas para impulsar la equidad en 👉 interbank.pe/equidad
#8deMarzo #DíaInternacionalDeLaMujer #EsTiempoDeEquidad",14,3,7,0,5.0K
2025-07-12 08:24:11,Interbank,Apr 16,¡Este feriado largo sigamos conectados! 💚 Este 17 y 18 de abril realiza tus operaciones de forma digital a través de tu #InterbankAPP 📲,84,0,7,3,13.0K
2025-07-12 08:24:11,Interbank,Oct 7,"Recuerda 👀 durante este feriado no habrá atención en nuestras Tiendas Financieras. 
Todas tus operaciones podrás hacerlas desde nuestra Banca por Internet y desde tu #InterbankApp 📱",66,1,25,2,98.0K
2025-07-12 08:24:11,Interbank,Aug 29,"Este feriado, sigue gestionando tus operaciones de manera rápida y segura desde tu Interbank APP o a través de nuestra Banca por Internet. 📲💻

✨ ¡Te esperamos de vuelta el 31 de agosto! ✨",59,0,9,0,37.0K
2025-07-12 08:24:11,Interbank,Aug 5,"Este 06 de agosto, realiza todas tus operaciones de manera fácil y segura desde tu #Interbank APP o desde nuestra Banca por Internet. 📲🧑‍💻",21,0,3,0,30.0K
2025-07-12 08:24:11,Interbank,Jul 27,"Este 29 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankApp📱o desde nuestra Banca por Internet.  💻

✨ Retomaremos nuestra atención regular, el martes 30 de julio. 💚",30,1,9,0,26.0K
2025-07-12 08:24:11,Interbank,Jul 22,"📢 Este martes 23 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankAPP o nuestra Banca por Internet. 💻📱",8,0,5,1,21.0K
2025-07-12 08:24:11,Interbank,"Jun 6, 2024","👀Este feriado, puedes realizar tus operaciones desde casa en nuestros canales digitales 📲Nos reencontramos el sábado en nuestro horario regular.",96,1,7,1,17.0K
2025-07-12 08:24:11,Interbank,"May 4, 2024","👉 Encuentra aquí todo lo que necesitas saber sobre el retiro de la AFP. Si has decidido retirar, recuerda que el 20 de mayo empieza el registro de solicitudes según el último dígito de tu DNI.

Para saber más entra aquí: bit.ly/3WJL79h 🔗",123,2,14,4,22.0K
2025-07-12 08:24:11,Interbank,"Mar 27, 2024","Este feriado largo tu #InterbankApp estará disponible 24/7 para todas tus operaciones, al igual que nuestra Banca por Internet. El sábado 30 atenderemos en horario regular. ✨",46,1,9,0,16.0K
2025-07-12 08:24:11,Interbank,"Mar 26, 2024","#OrgulloInterbank  
¡Somos top #2 de “Los Mejores Lugares para Trabajar para las Mujeres en Perú” por @GPTWPeru 💪 
¡El cambio es colectivo! 💚 Seguiremos impulsándolo a través de nuestros programas e iniciativas para promover un entorno equitativo, diverso e inclusivo.",7,2,9,0,10.0K
2025-07-12 08:24:11,Interbank,"Mar 21, 2024","#OrgulloInterbank compartir el reconocimiento como Líderes Empresariales por el Cambio (LEC) a tres de nuestros clientes de Banca Empresa 🇵🇪 que apostaron por la #innovación para el crecimiento de sus negocios. 
#PremiosLEC",2,0,8,0,5.0K
2025-07-12 08:24:11,Interbank,"Mar 13, 2024","Otorgamos una línea de #FinanciamientoVerde por US$6 millones a HVC Exportaciones, destinada a la compra de café con certificación sostenible, lo que garantiza un ecosistema de prácticas eco amigables. 💪🌎

Conoce más👉interbank.pe/financiamiento…
#Sostenibilidad #NegocioResponsable",20,1,6,0,6.0K
2025-07-12 08:24:11,Interbank,"Mar 8, 2024","#EsCompromisoDeTodosyTodas ¡Este #8M sigamos! Por más acciones que nos permitan construir igualdad de oportunidades. Conoce algunas de nuestras iniciativas para impulsar la equidad en 👉 interbank.pe/equidad
#8deMarzo #DíaInternacionalDeLaMujer #EsTiempoDeEquidad",14,3,7,0,5.0K
2025-07-12 09:19:37,Interbank,Apr 16,¡Este feriado largo sigamos conectados! 💚 Este 17 y 18 de abril realiza tus operaciones de forma digital a través de tu #InterbankAPP 📲,84,0,7,3,13.0K
2025-07-12 09:19:37,Interbank,Oct 7,"Recuerda 👀 durante este feriado no habrá atención en nuestras Tiendas Financieras. 
Todas tus operaciones podrás hacerlas desde nuestra Banca por Internet y desde tu #InterbankApp 📱",66,1,25,2,98.0K
2025-07-12 09:19:37,Interbank,Aug 29,"Este feriado, sigue gestionando tus operaciones de manera rápida y segura desde tu Interbank APP o a través de nuestra Banca por Internet. 📲💻

✨ ¡Te esperamos de vuelta el 31 de agosto! ✨",59,0,9,0,37.0K
2025-07-12 09:19:37,Interbank,Aug 5,"Este 06 de agosto, realiza todas tus operaciones de manera fácil y segura desde tu #Interbank APP o desde nuestra Banca por Internet. 📲🧑‍💻",21,0,3,0,30.0K
2025-07-12 09:19:37,Interbank,Jul 27,"Este 29 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankApp📱o desde nuestra Banca por Internet.  💻

✨ Retomaremos nuestra atención regular, el martes 30 de julio. 💚",30,1,9,0,26.0K
2025-07-12 09:19:37,Interbank,Jul 22,"📢 Este martes 23 de julio, realiza todas tus operaciones de manera fácil y segura desde tu #InterbankAPP o nuestra Banca por Internet. 💻📱",8,0,5,1,21.0K
2025-07-12 09:19:37,Interbank,"Jun 6, 2024","👀Este feriado, puedes realizar tus operaciones desde casa en nuestros canales digitales 📲Nos reencontramos el sábado en nuestro horario regular.",96,1,7,1,17.0K
2025-07-12 09:19:37,Interbank,"May 4, 2024","👉 Encuentra aquí todo lo que necesitas saber sobre el retiro de la AFP. Si has decidido retirar, recuerda que el 20 de mayo empieza el registro de solicitudes según el último dígito de tu DNI.

Para saber más entra aquí: bit.ly/3WJL79h 🔗",123,2,14,4,22.0K
2025-07-12 09:19:37,Interbank,"Mar 27, 2024","Este feriado largo tu #InterbankApp estará disponible 24/7 para todas tus operaciones, al igual que nuestra Banca por Internet. El sábado 30 atenderemos en horario regular. ✨",46,1,9,0,16.0K
2025-07-12 09:19:37,Interbank,"Mar 26, 2024","#OrgulloInterbank  
¡Somos top #2 de “Los Mejores Lugares para Trabajar para las Mujeres en Perú” por @GPTWPeru 💪 
¡El cambio es colectivo! 💚 Seguiremos impulsándolo a través de nuestros programas e iniciativas para promover un entorno equitativo, diverso e inclusivo.",7,2,9,0,10.0K
2025-07-12 09:19:37,Interbank,"Mar 21, 2024","#OrgulloInterbank compartir el reconocimiento como Líderes Empresariales por el Cambio (LEC) a tres de nuestros clientes de Banca Empresa 🇵🇪 que apostaron por la #innovación para el crecimiento de sus negocios. 
#PremiosLEC",2,0,8,0,5.0K
